"n","org_trans","stemm","tokens1","tokens2","tokens3","tokens4","tokens5"
4,"sales floor team member","sale floor team member","sale","floor","team","member",NA
2,"sales intern","sale intern","sale","intern",NA,NA,NA
2,"sales lead","sale lead","sale","lead",NA,NA,NA
2,"sales lead","sale lead","sale","lead",NA,NA,NA
1,"salesman","salesman","salesman",NA,NA,NA,NA
2,"sales manager","sale manag","sale","manag",NA,NA,NA
2,"sales manager","sale manag","sale","manag",NA,NA,NA
2,"sales negotiator","sale negoti","sale","negoti",NA,NA,NA
2,"sales officer","sale offic","sale","offic",NA,NA,NA
3,"sales operations manager","sale oper manag","sale","oper","manag",NA,NA
1,"salesperson","salesperson","salesperson",NA,NA,NA,NA
2,"sales professional","sale profession","sale","profession",NA,NA,NA
3,"sales project manager","sale project manag","sale","project","manag",NA,NA
2,"sales promoter","sale promot","sale","promot",NA,NA,NA
2,"sales rep","sale rep","sale","rep",NA,NA,NA
2,"sales rep","sale rep","sale","rep",NA,NA,NA
2,"sales representative","sale repres","sale","repres",NA,NA,NA
2,"sales specialist","sale specialist","sale","specialist",NA,NA,NA
2,"sales supervisor","sale supervisor","sale","supervisor",NA,NA,NA
2,"sales support","sale support","sale","support",NA,NA,NA
3,"sales support manager","sale support manag","sale","support","manag",NA,NA
3,"sales support specialist","sale support specialist","sale","support","specialist",NA,NA
3,"sales team leader","sale team leader","sale","team","leader",NA,NA
2,"sales trainee","sale traine","sale","traine",NA,NA,NA
2,"sales trainee","sale traine","sale","traine",NA,NA,NA
1,"salesman","salesman","salesman",NA,NA,NA,NA
2,"sales manager","sale manag","sale","manag",NA,NA,NA
1,"salesperson","salesperson","salesperson",NA,NA,NA,NA
1,"salesman","salesman","salesman",NA,NA,NA,NA
2,"sales assistant","sale assist","sale","assist",NA,NA,NA
2,"sales consultant","sale consult","sale","consult",NA,NA,NA
1,"seller","seller","seller",NA,NA,NA,NA
2,"salon manager","salon manag","salon","manag",NA,NA,NA
2,"sandwich artist","sandwich artist","sandwich","artist",NA,NA,NA
2,"site supervisor","site supervisor","site","supervisor",NA,NA,NA
3,"multiple resource scheduling","multipl resourc schedul","multipl","resourc","schedul",NA,NA
3,"know abap consultant","know abap consult","know","abap","consult",NA,NA
2,"know consultant","know consult","know","consult",NA,NA,NA
2,"know consultant","know consult","know","consult",NA,NA,NA
2,"know consultant","know consult","know","consult",NA,NA,NA
2,"know consultant","know consult","know","consult",NA,NA,NA
3,"know sd consultant","know sd consult","know","sd","consult",NA,NA
3,"sap technical consultant","sap technic consult","sap","technic","consult",NA,NA
2,"sales representative","sale repres","sale","repres",NA,NA,NA
1,"scaffolder","scaffold","scaffold",NA,NA,NA,NA
1,"scheduler","schedul","schedul",NA,NA,NA,NA
1,"school","school","school",NA,NA,NA,NA
2,"school administrator","school administr","school","administr",NA,NA,NA
3,"school bus driver","school bus driver","school","bus","driver",NA,NA
2,"school counselor","school counselor","school","counselor",NA,NA,NA
2,"school nurse","school nurs","school","nurs",NA,NA,NA
2,"school psychologist","school psychologist","school","psychologist",NA,NA,NA
3,"school social worker","school social worker","school","social","worker",NA,NA
2,"science teacher","scienc teacher","scienc","teacher",NA,NA,NA
2,"scientific officer","scientif offic","scientif","offic",NA,NA,NA
1,"scientist","scientist","scientist",NA,NA,NA,NA
1,"screenwriter","screenwrit","screenwrit",NA,NA,NA,NA
2,"scrum master","scrum master","scrum","master",NA,NA,NA
1,"seaman","seaman","seaman",NA,NA,NA,NA
1,"seamstress","seamstress","seamstress",NA,NA,NA,NA
3,"seasonal sales associate","season sale associ","season","sale","associ",NA,NA
2,"secondary teacher","secondari teacher","secondari","teacher",NA,NA,NA
1,"secretary","secretari","secretari",NA,NA,NA,NA
1,"secretary","secretari","secretari",NA,NA,NA,NA
2,"general secretary","general secretari","general","secretari",NA,NA,NA
2,"medical secretary","medic secretari","medic","secretari",NA,NA,NA
1,"secretary","secretari","secretari",NA,NA,NA,NA
1,"secretary","secretari","secretari",NA,NA,NA,NA
1,"secretary","secretari","secretari",NA,NA,NA,NA
2,"administrative secretary","administr secretari","administr","secretari",NA,NA,NA
3,"secretary of direction","secretari of direct","secretari","direct",NA,NA,NA
2,"executive secretary","execut secretari","execut","secretari",NA,NA,NA
1,"secretary","secretari","secretari",NA,NA,NA,NA
1,"secretary","secretari","secretari",NA,NA,NA,NA
1,"secretary","secretari","secretari",NA,NA,NA,NA
2,"secretary general","secretari general","secretari","general",NA,NA,NA
2,"section manager","section manag","section","manag",NA,NA,NA
1,"security","secur","secur",NA,NA,NA,NA
2,"security consultant","secur consult","secur","consult",NA,NA,NA
2,"security guard","secur guard","secur","guard",NA,NA,NA
2,"security manager","secur manag","secur","manag",NA,NA,NA
2,"security officer","secur offic","secur","offic",NA,NA,NA
2,"security specialist","secur specialist","secur","specialist",NA,NA,NA
2,"security supervisor","secur supervisor","secur","supervisor",NA,NA,NA
1,"secretary","secretari","secretari",NA,NA,NA,NA
1,"safety","safeti","safeti",NA,NA,NA,NA
1,"secretary","secretari","secretari",NA,NA,NA,NA
1,"independent","independ","independ",NA,NA,NA,NA
2,"self employed","self employ","self","employ",NA,NA,NA
2,"self employed","self employ","self","employ",NA,NA,NA
2,"self employed","self employ","self","employ",NA,NA,NA
1,"seller","seller","seller",NA,NA,NA,NA
1,"seller","seller","seller",NA,NA,NA,NA
1,"retired","retir","retir",NA,NA,NA,NA
1,"senior","senior","senior",NA,NA,NA,NA
3,"senior account director","senior account director","senior","account","director",NA,NA
3,"senior account executive","senior account execut","senior","account","execut",NA,NA
3,"senior account manager","senior account manag","senior","account","manag",NA,NA
2,"senior accountant","senior account","senior","account",NA,NA,NA
3,"senior accounting clerk","senior account clerk","senior","account","clerk",NA,NA
3,"senior administrative assistant","senior administr assist","senior","administr","assist",NA,NA
2,"senior administrator","senior administr","senior","administr",NA,NA,NA
2,"senior advisor","senior advisor","senior","advisor",NA,NA,NA
2,"senior analyst","senior analyst","senior","analyst",NA,NA,NA
3,"senior analyst programmer","senior analyst programm","senior","analyst","programm",NA,NA
3,"senior application developer","senior applic develop","senior","applic","develop",NA,NA
3,"senior application engineer","senior applic engin","senior","applic","engin",NA,NA
2,"senior architect","senior architect","senior","architect",NA,NA,NA
3,"senior art director","senior art director","senior","art","director",NA,NA
2,"senior associate","senior associ","senior","associ",NA,NA,NA
3,"senior associate consultant","senior associ consult","senior","associ","consult",NA,NA
2,"senior attorney","senior attorney","senior","attorney",NA,NA,NA
3,"senior audit associate","senior audit associ","senior","audit","associ",NA,NA
2,"senior auditor","senior auditor","senior","auditor",NA,NA,NA
3,"senior brand manager","senior brand manag","senior","brand","manag",NA,NA
3,"senior business analyst","senior busi analyst","senior","busi","analyst",NA,NA
3,"senior business consultant","senior busi consult","senior","busi","consult",NA,NA
4,"senior business development manager","senior busi develop manag","senior","busi","develop","manag",NA
2,"senior buyer","senior buyer","senior","buyer",NA,NA,NA
2,"senior chemist","senior chemist","senior","chemist",NA,NA,NA
3,"senior civil engineer","senior civil engin","senior","civil","engin",NA,NA
2,"senior clerk","senior clerk","senior","clerk",NA,NA,NA
4,"senior clinical research associate","senior clinic research associ","senior","clinic","research","associ",NA
3,"senior commercial manager","senior commerci manag","senior","commerci","manag",NA,NA
2,"senior consultant","senior consult","senior","consult",NA,NA,NA
2,"senior copywriter","senior copywrit","senior","copywrit",NA,NA,NA
2,"senior counsel","senior counsel","senior","counsel",NA,NA,NA
2,"senior counsel","senior counsel","senior","counsel",NA,NA,NA
2,"senior cra","senior cra","senior","cra",NA,NA,NA
3,"senior credit analyst","senior credit analyst","senior","credit","analyst",NA,NA
4,"senior customer service representative","senior custom servic repres","senior","custom","servic","repres",NA
3,"senior data analyst","senior data analyst","senior","data","analyst",NA,NA
3,"senior database administrator","senior databas administr","senior","databas","administr",NA,NA
3,"senior design engineer","senior design engin","senior","design","engin",NA,NA
2,"senior designer","senior design","senior","design",NA,NA,NA
2,"senior developer","senior develop","senior","develop",NA,NA,NA
2,"senior director","senior director","senior","director",NA,NA,NA
3,"senior document controller","senior document control","senior","document","control",NA,NA
2,"senior editor","senior editor","senior","editor",NA,NA,NA
3,"senior electrical engineer","senior electr engin","senior","electr","engin",NA,NA
3,"senior electrical engineer","senior electr engin","senior","electr","engin",NA,NA
2,"senior engineer","senior engin","senior","engin",NA,NA,NA
2,"senior estimator","senior estim","senior","estim",NA,NA,NA
2,"senior executive","senior execut","senior","execut",NA,NA,NA
3,"senior executive assistant","senior execut assist","senior","execut","assist",NA,NA
3,"senior field engineer","senior field engin","senior","field","engin",NA,NA
3,"senior finance manager","senior financ manag","senior","financ","manag",NA,NA
3,"senior finance officer","senior financ offic","senior","financ","offic",NA,NA
3,"senior financial analyst","senior financi analyst","senior","financi","analyst",NA,NA
2,"senior geologist","senior geologist","senior","geologist",NA,NA,NA
3,"senior graphic designer","senior graphic design","senior","graphic","design",NA,NA
3,"senior hr manager","senior hr manag","senior","hr","manag",NA,NA
3,"senior interior designer","senior interior design","senior","interior","design",NA,NA
3,"senior intern auditor","senior intern auditor","senior","intern","auditor",NA,NA
2,"senior investigator","senior investig","senior","investig",NA,NA,NA
3,"senior it consultant","senior it consult","senior","consult",NA,NA,NA
3,"senior java developer","senior java develop","senior","java","develop",NA,NA
4,"senior key account manager","senior key account manag","senior","key","account","manag",NA
2,"senior lecturer","senior lectur","senior","lectur",NA,NA,NA
3,"senior legal counsel","senior legal counsel","senior","legal","counsel",NA,NA
3,"senior loan officer","senior loan offic","senior","loan","offic",NA,NA
2,"senior manager","senior manag","senior","manag",NA,NA,NA
3,"senior managing director","senior manag director","senior","manag","director",NA,NA
3,"senior manufacturing engineer","senior manufactur engin","senior","manufactur","engin",NA,NA
3,"senior marketing analyst","senior market analyst","senior","market","analyst",NA,NA
3,"senior marketing executive","senior market execut","senior","market","execut",NA,NA
3,"senior marketing manager","senior market manag","senior","market","manag",NA,NA
3,"senior mechanical engineer","senior mechan engin","senior","mechan","engin",NA,NA
3,"senior mechanical engineer","senior mechan engin","senior","mechan","engin",NA,NA
2,"senior merchandiser","senior merchandis","senior","merchandis",NA,NA,NA
3,"senior network engineer","senior network engin","senior","network","engin",NA,NA
2,"senior officer","senior offic","senior","offic",NA,NA,NA
3,"senior operations manager","senior oper manag","senior","oper","manag",NA,NA
2,"senior paralegal","senior paraleg","senior","paraleg",NA,NA,NA
2,"senior partner","senior partner","senior","partner",NA,NA,NA
2,"senior pastor","senior pastor","senior","pastor",NA,NA,NA
2,"senior physiotherapist","senior physiotherapist","senior","physiotherapist",NA,NA,NA
3,"senior piping designer","senior pipe design","senior","pipe","design",NA,NA
2,"senior planner","senior planner","senior","planner",NA,NA,NA
4,"senior printed circuit designer","senior print circuit design","senior","print","circuit","design",NA
3,"senior process engineer","senior process engin","senior","process","engin",NA,NA
3,"senior process executive","senior process execut","senior","process","execut",NA,NA
2,"senior producer","senior produc","senior","produc",NA,NA,NA
3,"senior product manager","senior product manag","senior","product","manag",NA,NA
3,"senior product specialist","senior product specialist","senior","product","specialist",NA,NA
3,"senior program manager","senior program manag","senior","program","manag",NA,NA
2,"senior programs","senior program","senior","program",NA,NA,NA
3,"senior programmer analyst","senior programm analyst","senior","programm","analyst",NA,NA
3,"senior programmer analyst","senior programm analyst","senior","programm","analyst",NA,NA
3,"senior project coordinator","senior project coordin","senior","project","coordin",NA,NA
3,"senior project engineer","senior project engin","senior","project","engin",NA,NA
3,"senior project manager","senior project manag","senior","project","manag",NA,NA
3,"senior project officer","senior project offic","senior","project","offic",NA,NA
3,"senior property manager","senior properti manag","senior","properti","manag",NA,NA
3,"senior qa analyst","senior qa analyst","senior","qa","analyst",NA,NA
2,"senior engineer","senior engin","senior","engin",NA,NA,NA
3,"senior quality engineer","senior qualiti engin","senior","qualiti","engin",NA,NA
3,"senior quantity surveyor","senior quantiti surveyor","senior","quantiti","surveyor",NA,NA
2,"senior recruiter","senior recruit","senior","recruit",NA,NA,NA
3,"senior recruitment consultant","senior recruit consult","senior","recruit","consult",NA,NA
3,"senior relationship manager","senior relationship manag","senior","relationship","manag",NA,NA
2,"senior reporter","senior report","senior","report",NA,NA,NA
3,"senior research analyst","senior research analyst","senior","research","analyst",NA,NA
3,"senior research associate","senior research associ","senior","research","associ",NA,NA
3,"senior research engineer","senior research engin","senior","research","engin",NA,NA
3,"senior research fellow","senior research fellow","senior","research","fellow",NA,NA
3,"senior research scientist","senior research scientist","senior","research","scientist",NA,NA
2,"senior researcher","senior research","senior","research",NA,NA,NA
3,"senior risk analyst","senior risk analyst","senior","risk","analyst",NA,NA
2,"senior sales","senior sale","senior","sale",NA,NA,NA
3,"senior sales advisor","senior sale advisor","senior","sale","advisor",NA,NA
3,"senior sales assistant","senior sale assist","senior","sale","assist",NA,NA
3,"senior sales associate","senior sale associ","senior","sale","associ",NA,NA
3,"senior sales consultant","senior sale consult","senior","sale","consult",NA,NA
3,"senior sales engineer","senior sale engin","senior","sale","engin",NA,NA
3,"senior sales executive","senior sale execut","senior","sale","execut",NA,NA
3,"senior sales manager","senior sale manag","senior","sale","manag",NA,NA
3,"senior sales officer","senior sale offic","senior","sale","offic",NA,NA
3,"senior sales representative","senior sale repres","senior","sale","repres",NA,NA
2,"senior scientist","senior scientist","senior","scientist",NA,NA,NA
3,"senior service engineer","senior servic engin","senior","servic","engin",NA,NA
3,"senior software consultant","senior softwar consult","senior","softwar","consult",NA,NA
3,"senior software developer","senior softwar develop","senior","softwar","develop",NA,NA
3,"senior software engineer","senior softwar engin","senior","softwar","engin",NA,NA
2,"senior specialist","senior specialist","senior","specialist",NA,NA,NA
3,"senior strategic planner","senior strateg planner","senior","strateg","planner",NA,NA
3,"senior structural engineer","senior structur engin","senior","structur","engin",NA,NA
2,"senior stylist","senior stylist","senior","stylist",NA,NA,NA
2,"senior supervisor","senior supervisor","senior","supervisor",NA,NA,NA
3,"senior support engineer","senior support engin","senior","support","engin",NA,NA
2,"senior surveyor","senior surveyor","senior","surveyor",NA,NA,NA
3,"senior system administrator","senior system administr","senior","system","administr",NA,NA
3,"senior systems analyst","senior system analyst","senior","system","analyst",NA,NA
3,"senior systems engineer","senior system engin","senior","system","engin",NA,NA
3,"senior systems analyst","senior system analyst","senior","system","analyst",NA,NA
3,"senior systems engineer","senior system engin","senior","system","engin",NA,NA
3,"senior tax accountant","senior tax account","senior","tax","account",NA,NA
3,"senior qa analyst","senior qa analyst","senior","qa","analyst",NA,NA
3,"senior tax manager","senior tax manag","senior","tax","manag",NA,NA
3,"senior technical analyst","senior technic analyst","senior","technic","analyst",NA,NA
3,"senior technical consultant","senior technic consult","senior","technic","consult",NA,NA
3,"senior technical officer","senior technic offic","senior","technic","offic",NA,NA
3,"senior technical specialist","senior technic specialist","senior","technic","specialist",NA,NA
3,"senior technical writer","senior technic writer","senior","technic","writer",NA,NA
2,"senior technician","senior technician","senior","technician",NA,NA,NA
3,"senior territory manager","senior territori manag","senior","territori","manag",NA,NA
3,"senior test analyst","senior test analyst","senior","test","analyst",NA,NA
3,"senior test engineer","senior test engin","senior","test","engin",NA,NA
2,"senior underwriter","senior underwrit","senior","underwrit",NA,NA,NA
3,"senior vice president","senior vice presid","senior","vice","presid",NA,NA
3,"senior web designer","senior web design","senior","web","design",NA,NA
3,"senior web developer","senior web develop","senior","web","develop",NA,NA
2,"senior writer","senior writer","senior","writer",NA,NA,NA
1,"seo","seo","seo",NA,NA,NA,NA
2,"seo executive","seo execut","seo","execut",NA,NA,NA
2,"seo specialist","seo specialist","seo","specialist",NA,NA,NA
1,"sergeant","sergeant","sergeant",NA,NA,NA,NA
1,"waitress","waitress","waitress",NA,NA,NA,NA
1,"server","server","server",NA,NA,NA,NA
3,"server and bartender","server and bartend","server","bartend",NA,NA,NA
1,"server","server","server",NA,NA,NA,NA
1,"waitress","waitress","waitress",NA,NA,NA,NA
1,"service","servic","servic",NA,NA,NA,NA
2,"service advisor","servic advisor","servic","advisor",NA,NA,NA
2,"service agent","servic agent","servic","agent",NA,NA,NA
2,"service consultant","servic consult","servic","consult",NA,NA,NA
2,"service coordinator","servic coordin","servic","coordin",NA,NA,NA
2,"service crew","servic crew","servic","crew",NA,NA,NA
3,"service delivery manager","servic deliveri manag","servic","deliveri","manag",NA,NA
3,"service desk analyst","servic desk analyst","servic","desk","analyst",NA,NA
2,"service director","servic director","servic","director",NA,NA,NA
2,"service engineer","servic engin","servic","engin",NA,NA,NA
2,"service manager","servic manag","servic","manag",NA,NA,NA
2,"service representative","servic repres","servic","repres",NA,NA,NA
2,"service specialist","servic specialist","servic","specialist",NA,NA,NA
2,"service supervisor","servic supervisor","servic","supervisor",NA,NA,NA
2,"service tech","servic tech","servic","tech",NA,NA,NA
2,"service technician","servic technician","servic","technician",NA,NA,NA
2,"service employee","servic employe","servic","employe",NA,NA,NA
2,"service technician","servic technician","servic","technician",NA,NA,NA
2,"customer service","custom servic","custom","servic",NA,NA,NA
2,"customer service","custom servic","custom","servic",NA,NA,NA
1,"set","set","set",NA,NA,NA,NA
1,"shareholder","sharehold","sharehold",NA,NA,NA,NA
2,"sharepoint developer","sharepoint develop","sharepoint","develop",NA,NA,NA
2,"shift engineer","shift engin","shift","engin",NA,NA,NA
2,"shift leader","shift leader","shift","leader",NA,NA,NA
2,"shift leader","shift leader","shift","leader",NA,NA,NA
2,"shift manager","shift manag","shift","manag",NA,NA,NA
2,"shift supervisor","shift supervisor","shift","supervisor",NA,NA,NA
1,"shipper","shipper","shipper",NA,NA,NA,NA
1,"shipping","ship","ship",NA,NA,NA,NA
2,"shipping clerk","ship clerk","ship","clerk",NA,NA,NA
2,"shipping coordinator","ship coordin","ship","coordin",NA,NA,NA
2,"shipping manager","ship manag","ship","manag",NA,NA,NA
2,"shipping supervisor","ship supervisor","ship","supervisor",NA,NA,NA
2,"shop assistant","shop assist","shop","assist",NA,NA,NA
2,"shop foreman","shop foreman","shop","foreman",NA,NA,NA
2,"shop manager","shop manag","shop","manag",NA,NA,NA
2,"showroom manager","showroom manag","showroom","manag",NA,NA,NA
1,"singer","singer","singer",NA,NA,NA,NA
3,"singer and songwriter","singer and songwrit","singer","songwrit",NA,NA,NA
1,"systems","system","system",NA,NA,NA,NA
2,"site agent","site agent","site","agent",NA,NA,NA
2,"site coordinator","site coordin","site","coordin",NA,NA,NA
2,"site director","site director","site","director",NA,NA,NA
2,"site engineer","site engin","site","engin",NA,NA,NA
2,"site manager","site manag","site","manag",NA,NA,NA
2,"site supervisor","site supervisor","site","supervisor",NA,NA,NA
2,"ski instructor","ski instructor","ski","instructor",NA,NA,NA
3,"small business owner","small busi owner","small","busi","owner",NA,NA
1,"sme","sme","sme",NA,NA,NA,NA
2,"soccer coach","soccer coach","soccer","coach",NA,NA,NA
2,"soccer referee","soccer refere","soccer","refere",NA,NA,NA
1,"social","social","social",NA,NA,NA,NA
1,"partner","partner","partner",NA,NA,NA,NA
2,"owner partner","owner partner","owner","partner",NA,NA,NA
2,"social media","social media","social","media",NA,NA,NA
6,"social media and online marketing manager","social media and onlin market manag","social","media","onlin","market","manag"
3,"social media consultant","social media consult","social","media","consult",NA,NA
3,"social media coordinator","social media coordin","social","media","coordin",NA,NA
3,"social media intern","social media intern","social","media","intern",NA,NA
3,"social media manager","social media manag","social","media","manag",NA,NA
4,"social media marketing intern","social media market intern","social","media","market","intern",NA
3,"social media specialist","social media specialist","social","media","specialist",NA,NA
3,"social media strategist","social media strategist","social","media","strategist",NA,NA
3,"social studies teacher","social studi teacher","social","studi","teacher",NA,NA
3,"social work intern","social work intern","social","work","intern",NA,NA
2,"social worker","social worker","social","worker",NA,NA,NA
2,"social worker","social worker","social","worker",NA,NA,NA
1,"socio","socio","socio",NA,NA,NA,NA
1,"partner","partner","partner",NA,NA,NA,NA
2,"partner director","partner director","partner","director",NA,NA,NA
2,"managing partner","manag partner","manag","partner",NA,NA,NA
2,"founding partner","found partner","found","partner",NA,NA,NA
2,"managing partner","manag partner","manag","partner",NA,NA,NA
2,"managing partner","manag partner","manag","partner",NA,NA,NA
2,"owner partner","owner partner","owner","partner",NA,NA,NA
1,"lifeguard","lifeguard","lifeguard",NA,NA,NA,NA
1,"software","softwar","softwar",NA,NA,NA,NA
2,"software analyst","softwar analyst","softwar","analyst",NA,NA,NA
2,"software architect","softwar architect","softwar","architect",NA,NA,NA
2,"software consultant","softwar consult","softwar","consult",NA,NA,NA
2,"software developer","softwar develop","softwar","develop",NA,NA,NA
3,"software developer internship","softwar develop internship","softwar","develop","internship",NA,NA
3,"software developer internship","softwar develop internship","softwar","develop","internship",NA,NA
3,"software development engineer","softwar develop engin","softwar","develop","engin",NA,NA
3,"software development intern","softwar develop intern","softwar","develop","intern",NA,NA
3,"software development manager","softwar develop manag","softwar","develop","manag",NA,NA
2,"software engineer","softwar engin","softwar","engin",NA,NA,NA
2,"software engineer","softwar engin","softwar","engin",NA,NA,NA
3,"software engineer intern","softwar engin intern","softwar","engin","intern",NA,NA
3,"software engineer intern","softwar engin intern","softwar","engin","intern",NA,NA
3,"software engineering analyst","softwar engin analyst","softwar","engin","analyst",NA,NA
3,"software engineering intern","softwar engin intern","softwar","engin","intern",NA,NA
3,"software engineering manager","softwar engin manag","softwar","engin","manag",NA,NA
2,"software engineer","softwar engin","softwar","engin",NA,NA,NA
2,"software programs","softwar program","softwar","program",NA,NA,NA
2,"software engineer","softwar engin","softwar","engin",NA,NA,NA
2,"software specialist","softwar specialist","softwar","specialist",NA,NA,NA
3,"software test engineer","softwar test engin","softwar","test","engin",NA,NA
2,"software tests","softwar test","softwar","test",NA,NA,NA
1,"welder","welder","welder",NA,NA,NA,NA
1,"welder","welder","welder",NA,NA,NA,NA
1,"soldier","soldier","soldier",NA,NA,NA,NA
1,"owner","owner","owner",NA,NA,NA,NA
1,"solicitor","solicitor","solicitor",NA,NA,NA,NA
2,"solution architect","solut architect","solut","architect",NA,NA,NA
2,"solution architect","solut architect","solut","architect",NA,NA,NA
2,"solutions consultant","solut consult","solut","consult",NA,NA,NA
2,"solutions engineer","solut engin","solut","engin",NA,NA,NA
2,"solutions specialist","solut specialist","solut","specialist",NA,NA,NA
1,"sommelier","sommeli","sommeli",NA,NA,NA,NA
1,"sonographer","sonograph","sonograph",NA,NA,NA,NA
2,"technical support","technic support","technic","support",NA,NA,NA
2,"technical support","technic support","technic","support",NA,NA,NA
2,"sound designer","sound design","sound","design",NA,NA,NA
2,"sound engineer","sound engin","sound","engin",NA,NA,NA
2,"sourcing manager","sourc manag","sourc","manag",NA,NA,NA
2,"sourcing specialist","sourc specialist","sourc","specialist",NA,NA,NA
1,"chef","chef","chef",NA,NA,NA,NA
1,"chef","chef","chef",NA,NA,NA,NA
2,"spa director","spa director","spa","director",NA,NA,NA
2,"spa manager","spa manag","spa","manag",NA,NA,NA
2,"spa therapist","spa therapist","spa","therapist",NA,NA,NA
2,"spanish teacher","spanish teacher","spanish","teacher",NA,NA,NA
1,"speaker","speaker","speaker",NA,NA,NA,NA
2,"special agent","special agent","special","agent",NA,NA,NA
3,"special education paraprofessional","special educ paraprofession","special","educ","paraprofession",NA,NA
3,"special education teacher","special educ teacher","special","educ","teacher",NA,NA
2,"special educator","special educ","special","educ",NA,NA,NA
3,"special events coordinator","special event coordin","special","event","coordin",NA,NA
3,"special projects coordinator","special project coordin","special","project","coordin",NA,NA
3,"special projects manager","special project manag","special","project","manag",NA,NA
1,"specialist","specialist","specialist",NA,NA,NA,NA
2,"speech-language pathologist","speechlanguag pathologist","speechlanguag","pathologist",NA,NA,NA
3,"speech language pathologist","speech languag pathologist","speech","languag","pathologist",NA,NA
2,"speech pathologist","speech pathologist","speech","pathologist",NA,NA,NA
3,"sql server dba","sql server dba","sql","server","dba",NA,NA
2,"squad leader","squad leader","squad","leader",NA,NA,NA
1,"senior","senior","senior",NA,NA,NA,NA
2,"senior consultant","senior consult","senior","consult",NA,NA,NA
2,"senior engineer","senior engin","senior","engin",NA,NA,NA
3,"senior financial analyst","senior financi analyst","senior","financi","analyst",NA,NA
2,"senior manager","senior manag","senior","manag",NA,NA,NA
3,"senior project manager","senior project manag","senior","project","manag",NA,NA
3,"senior software engineer","senior softwar engin","senior","softwar","engin",NA,NA
3,"sr. account executive","sr account execut","sr","account","execut",NA,NA
3,"sr. account manager","sr account manag","sr","account","manag",NA,NA
2,"senior accountant","senior account","senior","account",NA,NA,NA
3,"senior administrative assistant","senior administr assist","senior","administr","assist",NA,NA
2,"senior analyst","senior analyst","senior","analyst",NA,NA,NA
3,"sr. art director","sr art director","sr","art","director",NA,NA
2,"senior associate","senior associ","senior","associ",NA,NA,NA
3,"senior business analyst","senior busi analyst","senior","busi","analyst",NA,NA
2,"senior sultant","senior sultant","senior","sultant",NA,NA,NA
3,"sr. design engineer","sr design engin","sr","design","engin",NA,NA
3,"sr. electrical engineer","sr electr engin","sr","electr","engin",NA,NA
2,"senior engineer","senior engin","senior","engin",NA,NA,NA
2,"senior executive","senior execut","senior","execut",NA,NA,NA
3,"sr. financial analyst","sr financi analyst","sr","financi","analyst",NA,NA
3,"sr. loan officer","sr loan offic","sr","loan","offic",NA,NA
2,"senior manager","senior manag","senior","manag",NA,NA,NA
3,"sr. manufacturing engineer","sr manufactur engin","sr","manufactur","engin",NA,NA
3,"sr. mechanical engineer","sr mechan engin","sr","mechan","engin",NA,NA
3,"sr. network engineer","sr network engin","sr","network","engin",NA,NA
3,"senior project manager","senior project manag","senior","project","manag",NA,NA
3,"sr. program manager","sr program manag","sr","program","manag",NA,NA
3,"sr. project engineer","sr project engin","sr","project","engin",NA,NA
3,"senior project manager","senior project manag","senior","project","manag",NA,NA
3,"senior software developer","senior softwar develop","senior","softwar","develop",NA,NA
3,"senior software engineer","senior softwar engin","senior","softwar","engin",NA,NA
3,"sr. systems engineer","sr system engin","sr","system","engin",NA,NA
3,"senior vice president","senior vice presid","senior","vice","presid",NA,NA
2,"senior engineer","senior engin","senior","engin",NA,NA,NA
2,"senior executive","senior execut","senior","execut",NA,NA,NA
2,"senior manager","senior manag","senior","manag",NA,NA,NA
1,"ss","ss","ss",NA,NA,NA,NA
1,"sse","sse","sse",NA,NA,NA,NA
1,"staff","staff","staff",NA,NA,NA,NA
1,"staff","staff","staff",NA,NA,NA,NA
2,"staff accountant","staff account","staff","account",NA,NA,NA
2,"staff assistant","staff assist","staff","assist",NA,NA,NA
2,"staff attorney","staff attorney","staff","attorney",NA,NA,NA
2,"staff auditor","staff auditor","staff","auditor",NA,NA,NA
2,"staff engineer","staff engin","staff","engin",NA,NA,NA
2,"staff member","staff member","staff","member",NA,NA,NA
2,"staff nurse","staff nurs","staff","nurs",NA,NA,NA
2,"staff pharmacist","staff pharmacist","staff","pharmacist",NA,NA,NA
2,"staff photographer","staff photograph","staff","photograph",NA,NA,NA
3,"staff registered nurse","staff regist nurs","staff","regist","nurs",NA,NA
2,"staff reporter","staff report","staff","report",NA,NA,NA
2,"staff rn","staff rn","staff","rn",NA,NA,NA
2,"staff scientist","staff scientist","staff","scientist",NA,NA,NA
2,"staff sergeant","staff sergeant","staff","sergeant",NA,NA,NA
3,"staff software engineer","staff softwar engin","staff","softwar","engin",NA,NA
2,"staff writer","staff writer","staff","writer",NA,NA,NA
2,"staffing consultant","staf consult","staf","consult",NA,NA,NA
2,"staffing coordinator","staf coordin","staf","coordin",NA,NA,NA
2,"staffing manager","staf manag","staf","manag",NA,NA,NA
2,"staffing specialist","staf specialist","staf","specialist",NA,NA,NA
1,"trainee","traine","traine",NA,NA,NA,NA
1,"stage","stage","stage",NA,NA,NA,NA
2,"stage director","stage director","stage","director",NA,NA,NA
2,"student internship","student internship","student","internship",NA,NA,NA
2,"stage manager","stage manag","stage","manag",NA,NA,NA
1,"stagehand","stagehand","stagehand",NA,NA,NA,NA
1,"trainee","traine","traine",NA,NA,NA,NA
