to,n,from
research and development,1,r and d
research and development,3,r and d
research and development engineer,4,r and d engineer
research and development manager,4,r and d manager
rn,1,r.n.
adviser,1,rådgiver
radio host,2,radio host
radio personality,2,radio personality
radiographer,1,radiographer
radiologic technologist,2,radiologic technologist
radiologist,1,radiologist
radiology technologist,2,radiology technologist
accountant,1,ragioniera
accountant,1,ragioniere
ramp agent,2,ramp agent
representative,1,rappresentante
reader,1,reader
real estate,2,real estate
real estate agent,3,real estate agent
real estate appraiser,3,real estate appraiser
real estate broker,3,real estate broker
real estate consultant,3,real estate consultant
real estate investor,3,real estate investor
real estate professional,3,real estate professional
real estate sales,3,real estate sales
real estate salesperson,3,real estate salesperson
realtor,1,realtor
realtor associate,2,realtor associate
receiving clerk,2,receiving clerk
receptionist,1,recepcionista
reception,1,reception
receptionist,1,receptionist
receptionist,1,receptioniste
receptionist,1,réceptionniste
lawyer,1,rechtsanwalt
recovery specialist,2,recovery specialist
recruiter,1,recruiter
recruiting coordinator,2,recruiting coordinator
recruiting manager,2,recruiting manager
recruiting specialist,2,recruiting specialist
recruitment,1,recruitment
recruitment administrator,2,recruitment administrator
recruitment assistant,2,recruitment assistant
recruitment consultant,2,recruitment consultant
recruitment coordinator,2,recruitment coordinator
recruitment executive,2,recruitment executive
recruitment manager,2,recruitment manager
recruitment officer,2,recruitment officer
recruitment specialist,2,recruitment specialist
human resources,2,recursos humanos
editor,1,redacteur
editor,1,redactor
editor,1,redactora
referee,1,referee
reference librarian,2,reference librarian
referent,1,referent
regional account manager,3,regional account manager
regional business manager,3,regional business manager
regional coordinator,2,regional coordinator
regional director,2,regional director
regional manager,2,regional manager
regional marketing manager,3,regional marketing manager
regional operations manager,3,regional operations manager
regional sales,2,regional sales
regional sales director,3,regional sales director
regional sales executive,3,regional sales executive
regional sales manager,3,regional sales manager
retail sales representative,3,regional sales representative
regional vice president,3,regional vice president
registered dental hygienist,3,registered dental hygienist
registered dietitian,2,registered dietitian
registered nurse,2,registered nurse
registered representative,2,registered representative
registered respiratory therapist,3,registered respiratory therapist
registrar,1,registrar
regulatory affairs manager,3,regulatory affairs manager
regulatory affairs specialist,3,regulatory affairs specialist
reimbursement specialist,2,reimbursement specialist
public relations,2,relaciones publicas
public relations,2,relaciones públicas
relationship banker,2,relationship banker
relationship manager,2,relationship manager
relationship officer,2,relationship officer
release manager,2,release manager
reliability engineer,2,reliability engineer
pensioner,1,rentner
reporter,1,rep
repair technician,2,repair technician
delivery man,2,repartidor
reporter,1,reporter
news reporter,2,repórter
repositor,1,repositor
representative,1,representante
trade representative,2,representante comercial
sales representative,2,representante de vendas
sales representative,2,representante de ventas
legal representative,2,representante legal
medical representative,2,representante médico
representative,1,representative
reseacher,1,reseacher
researcher,1,research
research analyst,2,research analyst
research and development engineer,4,research and development engineer
research and teaching assistant,4,research and teaching assistant
research assistant,2,research assistant
research associate,2,research associate
research chemist,2,research chemist
research consultant,2,research consultant
research coordinator,2,research coordinator
research director,2,research director
research engineer,2,research engineer
research executive,2,research executive
research fellow,2,research fellow
research intern,2,research intern
research intern,2,research internship
research manager,2,research manager
research officer,2,research officer
research scholar,2,research scholar
research scientist,2,research scientist
research specialist,2,research specialist
research student,2,research student
research technician,2,research technician
researcher,1,researcher
reservations,1,reservations
reservations agent,2,reservations agent
reservations manager,2,reservations manager
reservoir engineer,2,reservoir engineer
president,1,resident
resident advisor,2,resident advisor
resident assistant,2,resident assistant
resident director,2,resident director
resident dj,2,resident dj
resident engineer,2,resident engineer
resident manager,2,resident manager
resident physician,2,resident physician
president,1,residente
work resident,2,residente de obra
residential counselor,2,residential counselor
resource manager,2,resource manager
respiratory therapist,2,respiratory therapist
responsible,1,responsabile
administrative manager,2,responsabile amministrativo
commercial manager,2,responsabile commerciale
responsible,1,responsable
financial and administrative manager,4,responsable administratif et financier
sales manager,2,responsable commercial
sales manager,2,responsable commerciale
communications manager,2,responsable communication
accounting manager,2,responsable comptable
agency manager,2,responsable d'agence
quality manager,2,responsable de calidad
marketing manager,2,responsable de marketing
area manager,2,responsable de secteur
it manager,2,responsable informatique
logistics manager,2,responsable logistique
marketing manager,2,responsable marketing
quality manager,2,responsable qualité
human resources manager,3,responsable ressources humaines
technical manager,2,responsable technique
restaurant manager,2,restaurant manager
restaurant supervisor,2,restaurant supervisor
retail,1,retail
retail assistant,2,retail assistant
retail associate,2,retail associate
retail manager,2,retail manager
retail merchandiser,2,retail merchandiser
retail sales,2,retail sales
retail sales assistant,3,retail sales assistant
retail sales associate,3,retail sales associate
retail sales consultant,3,retail sales consultant
retail sales manager,3,retail sales manager
retail sales representative,3,retail sales representative
retail store manager,3,retail store manager
retail supervisor,2,retail supervisor
retired,1,retired
retired educator,2,retired educator
retired teacher,2,retired teacher
retiree,1,retiree
retirement specialist,2,retirement specialist
retirement,1,retraite
retirement,1,retraité
retirement,1,retraitée
revenue manager,2,revenue manager
auditor,1,revisor
rf engineer,2,rf engineer
researcher,1,ricercatore
ride operator,2,ride operator
rig manager,2,rig manager
rigger,1,rigger
risk advicer,2,risk advicer
risk analyst,2,risk analyst
risk manager,2,risk manager
rm,1,rm
rn,1,rn
rn bsn,2,rn bsn
rn case manager,3,rn case manager
roofer,1,roofer
room attendant,2,room attendant
rsm,1,rsm
runner,1,runner
system administrator,1,sa
clerk,1,sachbearbeiterin
selling,1,sælger
safety advisor,2,safety advisor
safety coordinator,2,safety coordinator
safety engineer,2,safety engineer
safety manager,2,safety manager
safety officer,2,safety officer
safety supervisor,2,safety supervisor
owner,1,sahip
salarisadministrateur,1,salarisadministrateur
sales,1,sale
sales associate,2,sale associate
sales manager,2,sale manager
sales,1,sales
sales  and  marketing,5,sales  and  marketing
sales  and  marketing assistant,6,sales  and  marketing assistant
sales  and  marketing director,6,sales  and  marketing director
sales  and  marketing executive,6,sales  and  marketing executive
sales  and  marketing manager,6,sales  and  marketing manager
sales account executive,3,sales account executive
sales account manager,3,sales account manager
sales administrator,2,sales administration
sales administrator,2,sales administrator
sales advisor,2,sales advisor
sales agent,2,sales agent
sales analyst,2,sales analyst
sales and leasing consultant,4,sales and leasing consultant
sales  and  marketing,5,sales and marketing
sales and marketing assistant,4,sales and marketing assistant
sales and marketing coordinator,4,sales and marketing coordinator
sales and marketing director,4,sales and marketing director
sales and marketing executive,4,sales and marketing executive
sales and marketing intern,4,sales and marketing intern
sales and marketing manager,4,sales and marketing manager
sales and marketing representative,4,sales and marketing representative
sales and service representative,4,sales and service representative
sales area manager,3,sales area manager
sales assistant,2,sales assistant
sales associate,2,sales associate
sales associate cashier,3,sales associate and cashier
sales associate cashier,3,sales associate cashier
sales clerk,2,sales clerk
sales coordinator,2,sales co-ordinator
sales consultant,2,sales consultant
sales coordinator,2,sales coordinator
sales department,2,sales department
sales development manager,3,sales development manager
sales development representative,3,sales development representative
sales director,2,sales director
sales engineer,2,sales engineer
sales executive,2,sales executive
sales floor team member,4,sales floor team member
sales intern,2,sales intern
sales lead,2,sales lead
sales lead,2,sales leader
salesman,1,sales man
sales manager,2,sales manager
sales manager,2,sales manger
sales negotiator,2,sales negotiator
sales officer,2,sales officer
sales operations manager,3,sales operations manager
salesperson,1,sales person
sales professional,2,sales professional
sales project manager,3,sales project manager
sales promoter,2,sales promoter
sales rep,2,sales rep
sales rep,2,sales rep.
sales representative,2,sales representative
sales specialist,2,sales specialist
sales supervisor,2,sales supervisor
sales support,2,sales support
sales support manager,3,sales support manager
sales support specialist,3,sales support specialist
sales team leader,3,sales team leader
sales trainee,2,sales trainee
sales trainee,2,sales trainer
salesman,1,salesman
sales manager,2,salesmanager
salesperson,1,salesperson
salesman,1,saleswoman
sales assistant,2,salgsassistent
sales consultant,2,salgskonsulent
seller,1,säljare
salon manager,2,salon manager
sandwich artist,2,sandwich artist
site supervisor,2,şantiye şefi
multiple resource scheduling,1,sap
know abap consultant,3,sap abap consultant
know consultant,2,sap bi consultant
know consultant,2,sap consultant
know consultant,2,sap fico consultant
know consultant,2,sap hr consultant
know sd consultant,3,sap sd consultant
sap technical consultant,3,sap technical consultant
sales representative,2,satış temsilcisi
scaffolder,1,scaffolder
scheduler,1,scheduler
school,1,school
school administrator,2,school administrator
school bus driver,3,school bus driver
school counselor,2,school counselor
school nurse,2,school nurse
school psychologist,2,school psychologist
school social worker,3,school social worker
science teacher,2,science teacher
scientific officer,2,scientific officer
scientist,1,scientist
screenwriter,1,screenwriter
scrum master,2,scrum master
seaman,1,seaman
seamstress,1,seamstress
seasonal sales associate,3,seasonal sales associate
secondary teacher,2,secondary teacher
secretary,1,secretaire
secretary,1,secrétaire
general secretary,2,secrétaire général
medical secretary,2,secrétaire médicale
secretary,1,secretaresse
secretary,1,secretaria
secretary,1,secretária
administrative secretary,2,secretaria administrativa
secretary of direction,3,secretaria de dirección
executive secretary,2,secretária executiva
secretary,1,secretario
secretary,1,secretaris
secretary,1,secretary
secretary general,2,secretary general
section manager,2,section manager
security,1,security
security consultant,2,security consultant
security guard,2,security guard
security manager,2,security manager
security officer,2,security officer
security specialist,2,security specialist
security supervisor,2,security supervisor
secretary,1,segretaria
safety,1,segurança
secretary,1,sekretær
independent,1,selbständig
self employed,2,self-employed
self employed,2,self employed
self employed,2,self employee
seller,1,selger
seller,1,seller
retired,2,semi retired
senior,1,senior
senior account director,3,senior account director
senior account executive,3,senior account executive
senior account manager,3,senior account manager
senior accountant,2,senior accountant
senior accounting clerk,3,senior accounting clerk
senior administrative assistant,3,senior administrative assistant
senior administrator,2,senior administrator
senior advisor,2,senior advisor
senior analyst,2,senior analyst
senior analyst programmer,3,senior analyst programmer
senior application developer,3,senior application developer
senior application engineer,3,senior application engineer
senior architect,2,senior architect
senior art director,3,senior art director
senior associate,2,senior associate
senior associate consultant,3,senior associate consultant
senior attorney,2,senior attorney
senior audit associate,3,senior audit associate
senior auditor,2,senior auditor
senior brand manager,3,senior brand manager
senior business analyst,3,senior business analyst
senior business consultant,3,senior business consultant
senior business development manager,4,senior business development manager
senior buyer,2,senior buyer
senior chemist,2,senior chemist
senior civil engineer,3,senior civil engineer
senior clerk,2,senior clerk
senior clinical research associate,4,senior clinical research associate
senior commercial manager,3,senior commercial manager
senior consultant,2,senior consultant
senior copywriter,2,senior copywriter
senior counsel,2,senior counsel
senior counsel,2,senior counselor
senior cra,2,senior cra
senior credit analyst,3,senior credit analyst
senior customer service representative,4,senior customer service representative
senior data analyst,3,senior data analyst
senior database administrator,3,senior database administrator
senior design engineer,3,senior design engineer
senior designer,2,senior designer
senior developer,2,senior developer
senior director,2,senior director
senior document controller,3,senior document controller
senior editor,2,senior editor
senior electrical engineer,3,senior electrical designer
senior electrical engineer,3,senior electrical engineer
senior engineer,2,senior engineer
senior estimator,2,senior estimator
senior executive,2,senior executive
senior executive assistant,3,senior executive assistant
senior field engineer,3,senior field engineer
senior finance manager,3,senior finance manager
senior finance officer,3,senior finance officer
senior financial analyst,3,senior financial analyst
senior geologist,2,senior geologist
senior graphic designer,3,senior graphic designer
senior hr manager,3,senior hr manager
senior interior designer,3,senior interior designer
senior intern auditor,3,senior internal auditor
senior investigator,2,senior investigator
senior it consultant,3,senior it consultant
senior java developer,3,senior java developer
senior key account manager,4,senior key account manager
senior lecturer,2,senior lecturer
senior legal counsel,3,senior legal counsel
senior loan officer,3,senior loan officer
senior manager,2,senior manager
senior managing director,3,senior managing director
senior manufacturing engineer,3,senior manufacturing engineer
senior marketing analyst,3,senior marketing analyst
senior marketing executive,3,senior marketing executive
senior marketing manager,3,senior marketing manager
senior mechanical engineer,3,senior mechanical designer
senior mechanical engineer,3,senior mechanical engineer
senior merchandiser,2,senior merchandiser
senior network engineer,3,senior network engineer
senior officer,2,senior officer
senior operations manager,3,senior operations manager
senior paralegal,2,senior paralegal
senior partner,2,senior partner
senior pastor,2,senior pastor
senior physiotherapist,2,senior physiotherapist
senior piping designer,3,senior piping designer
senior planner,2,senior planner
senior printed circuit designer,4,senior printed circuit designer
senior process engineer,3,senior process engineer
senior process executive,3,senior process executive
senior producer,2,senior producer
senior product manager,3,senior product manager
senior product specialist,3,senior product specialist
senior program manager,3,senior program manager
senior programs,2,senior programmer
senior programmer analyst,3,senior programmer analyst
senior programmer analyst,3,senior programmer and analyst
senior project coordinator,3,senior project coordinator
senior project engineer,3,senior project engineer
senior project manager,3,senior project manager
senior project officer,3,senior project officer
senior property manager,3,senior property manager
senior qa analyst,3,senior qa analyst
senior engineer,2,senior qa engineer
senior quality engineer,3,senior quality engineer
senior quantity surveyor,3,senior quantity surveyor
senior recruiter,2,senior recruiter
senior recruitment consultant,3,senior recruitment consultant
senior relationship manager,3,senior relationship manager
senior reporter,2,senior reporter
senior research analyst,3,senior research analyst
senior research associate,3,senior research associate
senior research engineer,3,senior research engineer
senior research fellow,3,senior research fellow
senior research scientist,3,senior research scientist
senior researcher,2,senior researcher
senior risk analyst,3,senior risk analyst
senior sales,2,senior sales
senior sales advisor,3,senior sales advisor
senior sales assistant,3,senior sales assistant
senior sales associate,3,senior sales associate
senior sales consultant,3,senior sales consultant
senior sales engineer,3,senior sales engineer
senior sales executive,3,senior sales executive
senior sales manager,3,senior sales manager
senior sales officer,3,senior sales officer
senior sales representative,3,senior sales representative
senior scientist,2,senior scientist
senior service engineer,3,senior service engineer
senior software consultant,3,senior software consultant
senior software developer,3,senior software developer
senior software engineer,3,senior software engineer
senior specialist,2,senior specialist
senior strategic planner,3,senior strategic planner
senior structural engineer,3,senior structural engineer
senior stylist,2,senior stylist
senior supervisor,2,senior supervisor
senior support engineer,3,senior support engineer
senior surveyor,2,senior surveyor
senior system administrator,3,senior system administrator
senior systems analyst,3,senior system analyst
senior systems engineer,3,senior system engineer
senior systems analyst,3,senior systems analyst
senior systems engineer,3,senior systems engineer
senior tax accountant,3,senior tax accountant
senior qa analyst,3,senior tax analyst
senior tax manager,3,senior tax manager
senior technical analyst,3,senior technical analyst
senior technical consultant,3,senior technical consultant
senior technical officer,3,senior technical officer
senior technical specialist,3,senior technical specialist
senior technical writer,3,senior technical writer
senior technician,2,senior technician
senior territory manager,3,senior territory manager
senior test analyst,3,senior test analyst
senior test engineer,3,senior test engineer
senior underwriter,2,senior underwriter
senior vice president,3,senior vice president
senior web designer,3,senior web designer
senior web developer,3,senior web developer
senior writer,2,senior writer
seo,1,seo
seo executive,2,seo executive
seo specialist,2,seo specialist
sergeant,1,sergeant
waitress,1,serveerster
server,1,server
server and bartender,3,server and bartender
server,1,serveur
waitress,1,serveuse
service,1,service
service advisor,2,service advisor
service agent,2,service agent
service consultant,2,service consultant
service coordinator,2,service coordinator
service crew,2,service crew
service delivery manager,3,service delivery manager
service desk analyst,3,service desk analyst
service director,2,service director
service engineer,2,service engineer
service manager,2,service manager
service representative,2,service representative
service specialist,2,service specialist
service supervisor,2,service supervisor
service tech,2,service tech
service technician,2,service technician
service employee,2,servicemedarbejder
service technician,2,servicetekniker
customer service,2,servicio al cliente
customer service,2,servicio de atención al cliente
set,1,set
shareholder,1,shareholder
sharepoint developer,2,sharepoint developer
shift engineer,2,shift engineer
shift leader,2,shift lead
shift leader,2,shift leader
shift manager,2,shift manager
shift supervisor,2,shift supervisor
shipper,1,shipper
shipping,1,shipping
shipping clerk,2,shipping clerk
shipping coordinator,2,shipping coordinator
shipping manager,2,shipping manager
shipping supervisor,2,shipping supervisor
shop assistant,2,shop assistant
shop foreman,2,shop foreman
shop manager,2,shop manager
showroom manager,2,showroom manager
singer,1,singer
singer and songwriter,3,singer and songwriter
systems,1,sistemas
site agent,2,site agent
site coordinator,2,site coordinator
site director,2,site director
site engineer,2,site engineer
site manager,2,site manager
site supervisor,2,site supervisor
ski instructor,2,ski instructor
small business owner,3,small business owner
sme,2,sme
soccer coach,2,soccer coach
soccer referee,2,soccer referee
social,1,socia
partner,1,sócia
owner partner,2,sócia proprietária
social media,2,social media
social media and online marketing manager,6,social media and online marketing manager
social media consultant,3,social media consultant
social media coordinator,3,social media coordinator
social media intern,3,social media intern
social media manager,3,social media manager
social media marketing intern,4,social media marketing intern
social media specialist,3,social media specialist
social media strategist,3,social media strategist
social studies teacher,3,social studies teacher
social work intern,3,social work intern
social worker,2,social worker
social worker,2,socialrådgiver
socio,1,socio
partner,1,sócio
partner director,2,socio director
managing partner,2,sócio diretor
founding partner,2,socio fundador
managing partner,2,socio gerente
managing partner,2,sócio gerente
owner partner,2,sócio proprietário
lifeguard,1,socorrista
software,1,software
software analyst,2,software analyst
software architect,2,software architect
software consultant,2,software consultant
software developer,2,software developer
software developer internship,3,software developer intern
software developer internship,3,software developer internship
software development engineer,3,software development engineer
software development intern,3,software development intern
software development manager,3,software development manager
software engineer,2,software engineer
software engineer,2,software engineer iii
software engineer intern,3,software engineer intern
software engineer intern,3,software engineer internship
software engineering analyst,3,software engineering analyst
software engineering intern,3,software engineering intern
software engineering manager,3,software engineering manager
software engineer,2,software enginner
software programs,2,software programmer
software engineer,2,software qa engineer
software specialist,2,software specialist
software test engineer,3,software test engineer
software tests,2,software tester
welder,1,soldado
welder,1,soldador
soldier,1,soldier
owner,2,sole proprietor
solicitor,1,solicitor
solution architect,2,solution architect
solution architect,2,solutions architect
solutions consultant,2,solutions consultant
solutions engineer,2,solutions engineer
solutions specialist,2,solutions specialist
sommelier,1,sommelier
sonographer,1,sonographer
technical support,2,soporte tecnico
technical support,2,soporte técnico
sound designer,2,sound designer
sound engineer,2,sound engineer
sourcing manager,2,sourcing manager
sourcing specialist,2,sourcing specialist
chef,2,sous chef
chef,2,souschef
spa director,2,spa director
spa manager,2,spa manager
spa therapist,2,spa therapist
spanish teacher,2,spanish teacher
speaker,1,speaker
special agent,2,special agent
special education paraprofessional,3,special education paraprofessional
special education teacher,3,special education teacher
special educator,2,special educator
special events coordinator,3,special events coordinator
special projects coordinator,3,special projects coordinator
special projects manager,3,special projects manager
specialist,1,specialist
speech-language pathologist,2,speech-language pathologist
speech language pathologist,3,speech language pathologist
speech pathologist,2,speech pathologist
sql server dba,3,sql server dba
squad leader,2,squad leader
senior,1,sr
senior consultant,2,sr consultant
senior engineer,2,sr engineer
senior financial analyst,3,sr financial analyst
senior manager,2,sr manager
senior project manager,3,sr project manager
senior software engineer,3,sr software engineer
sr. account executive,3,sr. account executive
sr. account manager,3,sr. account manager
senior accountant,2,sr. accountant
senior administrative assistant,3,sr. administrative assistant
senior analyst,2,sr. analyst
sr. art director,3,sr. art director
senior associate,2,sr. associate
senior business analyst,3,sr. business analyst
senior sultant,2,sr. consultant
sr. design engineer,3,sr. design engineer
sr. electrical engineer,3,sr. electrical engineer
senior engineer,2,sr. engineer
senior executive,2,sr. executive
sr. financial analyst,3,sr. financial analyst
sr. loan officer,3,sr. loan officer
senior manager,2,sr. manager
sr. manufacturing engineer,3,sr. manufacturing engineer
sr. mechanical engineer,3,sr. mechanical engineer
sr. network engineer,3,sr. network engineer
senior project manager,3,sr. product manager
sr. program manager,3,sr. program manager
sr. project engineer,3,sr. project engineer
senior project manager,3,sr. project manager
senior software developer,3,sr. software developer
senior software engineer,3,sr. software engineer
sr. systems engineer,3,sr. systems engineer
senior vice president,3,sr. vice president
senior engineer,2,sr.engineer
senior executive,2,sr.executive
senior manager,2,sr.manager
ss,1,ss
sse,1,sse
staff,1,staf
staff,1,staff
staff accountant,2,staff accountant
staff assistant,2,staff assistant
staff attorney,2,staff attorney
staff auditor,2,staff auditor
staff engineer,2,staff engineer
staff member,2,staff member
staff nurse,2,staff nurse
staff pharmacist,2,staff pharmacist
staff photographer,2,staff photographer
staff registered nurse,3,staff registered nurse
staff reporter,2,staff reporter
staff rn,2,staff rn
staff scientist,2,staff scientist
staff sergeant,2,staff sergeant
staff software engineer,3,staff software engineer
staff writer,2,staff writer
staffing consultant,2,staffing consultant
staffing coordinator,2,staffing coordinator
staffing manager,2,staffing manager
staffing specialist,2,staffing specialist
trainee,1,stagaire
stage,1,stage
stage director,2,stage director
student internship,2,stage étudiant
stage manager,2,stage manager
stagehand,1,stagehand
trainee,1,stagiair
trainee,1,stagiaire
accounting trainee,2,stagiaire comptable
intern,1,stagista
intern,1,stajyer
stage manager,2,state manager
station manager,2,station manager
statistician,1,statistician
statistics,1,statistics
steward,1,steward
stewardess,1,stewardess
stna,1,stna
stock associate,2,stock associate
stock clerk,2,stock clerk
stock controller,2,stock controller
stock manager,2,stock manager
store,1,stocker
storage administrator,2,storage administrator
store associate,2,store associate
store clerk,2,store clerk
store director,2,store director
store incharge,2,store incharge
storekeeper,1,store keeper
store management,2,store management
store manager,2,store manager
store supervisor,2,store supervisor
storekeeper,1,storekeeper
storeman,1,storeman
strategic account manager,3,strategic account manager
strategic planner,2,strategic planner
strategy consultant,2,strategy consultant
strategy manager,2,strategy manager
stress engineer,2,stress engineer
structural designer,2,structural designer
structural engineer,2,structural engineer
student,1,student
student ambassador,2,student ambassador
student assistant,2,student assistant
student caller,2,student caller
student consultant,2,student consultant
student employee,2,student employee
student engineer,2,student engineer
student intern,2,student intern
student internship,2,student internship
student job,2,student job
student manager,2,student manager
student mentor,2,student mentor
student nurse,2,student nurse
student physical therapist,3,student physical therapist
student representative,2,student representative
student research assistant,3,student research assistant
student researcher,2,student researcher
student supervisor,2,student supervisor
student teacher,2,student teacher
student volunteer,2,student volunteer
student worker,2,student worker
student,1,studente
student assistant,2,studentermedhjælper
student assistant,2,studentische hilfskraft
student employee,2,studentischer mitarbeiter
studio assistant,2,studio assistant
studio manager,2,studio manager
stylist,1,stylist
director,1,styremedlem
editor,2,sub-editor
editor,2,sub editor
assistant manager,2,sub gerente
subcontractor,1,subcontractor
assistant manager,2,subgerente
subject matter expert,3,subject matter expert
substance abuse counselor,3,substance abuse counselor
substitute teacher,2,substitute teacher
summer analyst,2,summer analyst
summer associate,2,summer associate
summer camp counselor,3,summer camp counselor
summer intern,2,summer intern
summer internship,2,summer internship
summer law clerk,3,summer law clerk
summer research intern,3,summer research intern
summer research student,3,summer research student
summer student,2,summer student
summer trainee,2,summer trainee
superintendent,1,superintendent
supervisor,1,superviser
supervisor,1,superviseur
supervisor,1,supervisor
administrative supervisor,2,supervisor administrativo
business supervisor,2,supervisor comercial
maintenance supervisor,2,supervisor de manutenção
work supervisor,2,supervisor de obra
operations supervisor,2,supervisor de operaciones
operations supervisor,2,supervisor de operações
production supervisor,2,supervisor de produção
production supervisor,2,supervisor de produccion
production supervisor,2,supervisor de producción
sales manager,2,supervisor de vendas
sales manager,2,supervisor de ventas
technical supervisor,2,supervisor técnico
supervisor,1,supervisora
technical support,2,suporte técnico
supplier quality engineer,3,supplier quality engineer
supply chain,2,supply chain
supply chain analyst,3,supply chain analyst
supply chain consultant,3,supply chain consultant
supply chain coordinator,3,supply chain coordinator
supply chain intern,3,supply chain intern
supply chain manager,3,supply chain manager
supply teacher,2,supply teacher
support,1,support
support analyst,2,support analyst
support assistant,2,support assistant
support engineer,2,support engineer
support manager,2,support manager
support specialist,2,support specialist
support staff,2,support staff
support technician,2,support technician
support worker,2,support worker
surgeon,1,surgeon
surgical technologist,2,surgical technologist
survey technician,2,survey technician
surveyor,1,surveyor
svp,1,svp
software,1,sw
software engineer,2,sw engineer
swim coach,2,swim coach
swim instructor,2,swim instructor
nurse,1,sygeplejerske
nurse,1,sykepleier
system specialist,2,systeem specialist
system admin,2,system admin
system administrator,2,system administrator
system analyst,2,system analyst
system and network administrator,4,system and network administrator
system architect,2,system architect
system developer,2,system developer
system engineer,2,system engineer
systems manager,2,system manager
system programs,2,system programmer
system specialist,2,system specialist
systems administrator,2,systems administrator
systems analyst,2,systems analyst
systems consultant,2,systems consultant
system developer,2,systems developer
system engineer,2,systems engineer
systems manager,2,systems manager
system programs,2,systems programmer
talent acquisition,2,talent acquisition
talent acquisition specialist,3,talent acquisition specialist
dental assistant,2,tandartsassistente
tattoo artist,2,tattoo artist
tax accountant,2,tax accountant
tax advisor,2,tax advisor
tax analyst,2,tax analyst
tax associate,2,tax associate
tax consultant,2,tax consultant
tax director,2,tax director
tax intern,2,tax intern
tax manager,2,tax manager
tax preparer,2,tax preparer
tax professional,2,tax professional
tax senior,2,tax senior
tax specialist,2,tax specialist
tax staff,2,tax staff
teacher,1,teacher
teacher help,2,teacher's aide
teacher assistant,2,teacher's assistant
teacher help,2,teacher aide
teacher and coach,3,teacher and coach
teacher assistant,2,teacher assistant
teacher of english,3,teacher of english
teacher of mathematics,3,teacher of mathematics
teacher assistant,2,teachers assistant
teaching,1,teaching
teaching assistant,2,teaching assistant
teaching fellow,2,teaching fellow
team assistant,2,team assistant
team captain,2,team captain
team coordinator,2,team coordinator
team leader,2,team lead
team leader,2,team leader
team manager,2,team manager
team member,2,team member
team leader,2,teamleader
team leader,2,teamleder
team leader,2,teamleider
tech,1,tech
tech lead,2,tech lead
tech support,2,tech support
technical,1,technical
technical account manager,3,technical account manager
technical advisor,2,technical advisor
technical analyst,2,technical analyst
technical architect,2,technical architect
technical assistant,2,technical assistant
technical associate,2,technical associate
technical consultant,2,technical consultant
technical coordinator,2,technical coordinator
technical designer,2,technical designer
technical director,2,technical director
technical engineer,2,technical engineer
technical executive,2,technical executive
technical expert,2,technical expert
technical intern,2,technical intern
technical lead,2,technical lead
technical lead,2,technical leader
technical manager,2,technical manager
technical officer,2,technical officer
technical project manager,3,technical project manager
technical recruiter,2,technical recruiter
technical representative,2,technical representative
technical sales,2,technical sales
technical sales engineer,3,technical sales engineer
technical sales manager,3,technical sales manager
technical sales representative,3,technical sales representative
technical service engineer,3,technical service engineer
technical services,2,technical services
technical services manager,3,technical services manager
technical specialist,2,technical specialist
technical supervisor,2,technical supervisor
technical support,2,technical support
technical support analyst,3,technical support analyst
technical support engineer,3,technical support engineer
technical support manager,3,technical support manager
technical support officer,3,technical support officer
technical support representative,3,technical support representative
technical support specialist,3,technical support specialist
technical team lead,3,technical team lead
technical team lead,3,technical team leader
technical trainer,2,technical trainer
technical writer,2,technical writer
technician,1,technician
technician,1,technicien
maintenance technician,2,technicien de maintenance
it technician,2,technicien informatique
laboratory technician,2,technicienne de laboratoire
commercial technician,2,technico-commercial
technologist,1,technologist
technology analyst,2,technology analyst
technology consultant,2,technology consultant
technology lead,2,technology lead
technology manager,2,technology manager
technology specialist,2,technology specialist
technical,1,tecnico
technical,1,técnico
administrative technician,2,técnico administrativo
commercial technician,2,tecnico comercial
commercial technician,2,técnico comercial
commercial technician,2,tecnico commerciale
nursing technician,2,técnico de enfermagem
computer technician,2,técnico de informática
work safety technician,3,técnico de segurança do trabalho
electric technician,2,técnico electricista
electronic technician,2,técnico eletrônico
building technician,2,técnico em edificações
electronic technician,2,técnico em eletrônica
computer technician,2,técnico em informática
occupational safety technician,3,técnico em segurança do trabalho
computer technician,2,tecnico informatico
computer technician,2,técnico informático
mechanical technician,2,técnico mecánico
mechanical technician,2,técnico mecânico
techniques,1,tekniker
telecom engineer,2,telecom engineer
telecommunications,1,telecommunications
telecommunications engineer,2,telecommunications engineer
telecommunications specialist,2,telecommunications specialist
telecommunications technician,2,telecommunications technician
telephonist,1,telefonista
telemarketer,1,telemarketer
telemarketing,1,telemarketing
telecommunications opera dora,3,teleoperador
telecommunications opera dora,3,teleoperadora
telephone operator,2,telephone operator
telesales,1,telesales
teller,1,teller
teller supervisor,2,teller supervisor
temporary assistant,2,temporary assistant
temporary employee,2,temporary employee
tennis coach,2,tennis coach
therapist,1,terapeuta
occupational therapist,2,terapeuta ocupacional
terminal manager,2,terminal manager
territory account manager,3,territory account manager
territory manager,2,territory manager
territory sales manager,3,territory sales manager
territory sales representative,3,territory sales representative
treasurer,1,tesorero
test analyst,2,test analyst
test consultant,2,test consultant
test engineer,2,test engineer
test lead,2,test lead
test manager,2,test manager
test technician,2,test technician
tester,1,tester
testing,1,testing
testing engineer,2,testing engineer
textile designer,2,textile designer
therapist,1,therapist
