"","str","to","n"
"1530","project trainee","project trainee",2
"805","projectleider","project manager",2
"857","projectmanager","project manager",2
"2196","projectmedewerker","project employee",2
"2546","projects manager","project manager",2
"3705","projektchef","project manager",2
"1132","projektledare","project",1
"2012","projektleder","project",1
"940","projektleiter","project manager",2
"2098","projektmanager","project manager",2
"1437","projetista","designer",1
"722","promoter","promoter",1
"2868","promotions assistant","promotions assistant",2
"4004","promotions coordinator","promotions coordinator",2
"4694","promotions manager","promotions manager",2
"1438","promotor","promotion girl",2
"1477","promotor de vendas","sales promoter",2
"3237","promotor de ventas","sales promoter",2
"1262","promotora","promotion girl",2
"2013","promotora de vendas","sales promoter",2
"4695","promotore finanziario","financial promoter",2
"2705","proofreader","proofreader",1
"4317","propagandista","propagandist",1
"2099","property accountant","property accountant",2
"1263","property consultant","property consultant",2
"183","property manager","property manager",2
"1298","propietaria","owner",1
"87","propietario","owner",1
"381","propriétaire","owner",1
"2430","proprietaria","owner",1
"1650","proprietária","owner",1
"337","proprietario","owner",1
"227","proprietário","owner",1
"591","proprietário(a)","owner",1
"184","proprietor","proprietor",1
"2547","prosjektleder","project",1
"1848","proyectista","designer",1
"4005","przedstawiciel handlowy","sales representative",2
"774","psicologa","psychologist",1
"353","psicóloga","psychologist",1
"4006","psicologa clinica","clinical psychologist",2
"3238","psicóloga clínica","clinical psychologist",2
"3239","psicologo","psychologist",1
"1928","psicólogo","psychologist",1
"3706","psicólogo clínico","clinical psychologist",2
"2706","psicopedagoga","psychopedagogist",1
"2100","psicoterapeuta","psychotherapist",1
"4318","psychiatric social worker","psychiatric social worker",3
"1775","psychiatrist","psychiatrist",1
"466","psychologist","psychologist",1
"2869","psychologue","psychologist",1
"3240","psychologue clinicienne","clinical psychologist",2
"3241","psychologue stagiaire","trainee psychologist",2
"3707","psychology intern","psychology intern",2
"4319","psycholoog","psychologist",1
"1227","psychotherapist","psychotherapist",1
"3449","psykolog","psychologist",1
"4320","pta","pta",1
"3709","public affairs officer","public affairs officer",3
"4321","public health nurse","public health nurse",3
"1299","public relations","public relations",2
"3710","public relations assistant","public relations assistant",3
"4007","public relations consultant","public relations consultant",3
"2431","public relations coordinator","public relations coordinator",3
"4008","public relations director","public relations director",3
"592","public relations intern","public relations intern",3
"1389","public relations manager","public relations manager",3
"1849","public relations officer","public relations officer",3
"4322","public relations specialist","public relations specialist",3
"4009","public servant","public servant",2
"1133","publisher","publisher",1
"2548","purchase","purchaser",1
"4323","purchase assistant","purchase assistant",2
"4324","purchase ledger clerk","purchase ledger clerk",3
"1300","purchase manager","purchase manager",2
"4325","purchase officer","purchase officer",2
"893","purchaser","purchaser",1
"656","purchasing","purchasing",1
"551","purchasing agent","purchasing agent",2
"1929","purchasing assistant","purchasing assistant",2
"3039","purchasing coordinator","purchasing coordinator",2
"265","purchasing manager","purchasing manager",2
"2300","purchasing officer","purchasing officer",2
"2432","purchasing specialist","purchasing specialist",2
"2870","purchasing supervisor","purchasing supervisor",2
"955","qa","qa",1
"732","qa analyst","qa analyst",2
"472","qa engineer","throat engineer",2
"1850","qa lead","qa lead",2
"980","qa manager","qa manager",2
"3242","qa specialist","qa specialist",2
"4696","qa team lead","qa team lead",3
"1851","qa tester","qa tester",2
"1390","qa/qc engineer","qa / qc engineer",4
"3711","qa/qc inspector","qa/qc inspector",2
"4326","qa/qc manager","qa / qc manager",4
"2707","qc","qc",1
"3243","qc analyst","qc analyst",2
"4327","qc chemist","qc chemist",2
"2708","qc engineer","throat engineer",2
"2014","qc inspector","qc inspector",2
"4010","qc manager","qc manager",2
"4697","qc supervisor","qc supervisor",2
"4698","qhse manager","house manager",2
"2101","quadro","painting",1
"2102","quality","quality",1
"657","quality analyst","quality analyst",2
"479","quality assurance","quality assurance",2
"858","quality assurance analyst","quality assurance analyst",3
"4328","quality assurance coordinator","quality assurance coordinator",3
"1264","quality assurance engineer","quality assurance engineer",3
"580","quality assurance manager","quality assurance manager",3
"2549","quality assurance officer","quality assurance officer",3
"1265","quality assurance specialist","quality assurance specialist",3
"2433","quality assurance supervisor","quality assurance supervisor",3
"3712","quality assurance technician","quality assurance technician",3
"3713","quality auditor","quality auditor",2
"574","quality control","quality control",2
"1651","quality control analyst","quality control analyst",3
"4699","quality control chemist","quality control chemist",3
"2103","quality control engineer","quality control engineer",3
"1593","quality control inspector","quality control inspector",3
"2434","quality control manager","quality control manager",3
"4329","quality control officer","quality control officer",3
"4700","quality control specialist","quality control specialist",3
"2015","quality control supervisor","quality control supervisor",3
"3450","quality control technician","quality control technician",3
"2550","quality controller","quality control",2
"4011","quality coordinator","quality coordinator",2
"283","quality engineer","quality engineer",2
"1594","quality inspector","quality inspector",2
"249","quality manager","quality manager",2
"3040","quality specialist","quality specialist",2
"3714","quality supervisor","quality supervisor",2
"2016","quality technician","quality technician",2
"3451","quantitative analyst","quantitative analyst",2
"503","quantity surveyor","quantity surveyor",2
"2435","r&d","r&d",1
"748","r&d engineer","r&d engineer",2
"1101","r&d manager","r&d manager",2
"3452","r.n.","r.n.",1
"3715","rådgiver","adviser",1
"4701","radio host","radio host",2
"3041","radio personality","radio personality",2
"2104","radiographer","radiographer",1
"1266","radiologic technologist","radiologic technologist",2
"1652","radiologist","radiologist",1
"4702","radiology technologist","radiology technologist",2
"4330","ragioniera","accountant",1
"4703","ragioniere","accountant",1
"2709","ramp agent","ramp agent",2
"3716","rappresentante","representative",1
"3717","rdh","rdh",1
"4704","reader","reader",1
"1157","real estate","real estate",2
"228","real estate agent","real estate agent",3
"3042","real estate appraiser","real estate appraiser",3
"501","real estate broker","real estate broker",3
"1102","real estate consultant","real estate consultant",3
"3043","real estate investor","real estate investor",3
"3453","real estate professional","real estate professional",3
"2871","real estate sales","real estate sales",3
"3044","real estate salesperson","real estate salesperson",3
"56","realtor","realtor",1
"2436","realtor associate","realtor associate",2
"3718","receiving clerk","receiving clerk",2
"201","recepcionista","receptionist",1
"2872","reception","reception",1
"43","receptionist","receptionist",1
"2710","receptioniste","receptionist",1
"2105","réceptionniste","receptionist",1
"2551","rechtsanwalt","lawyer",1
"4331","recovery specialist","recovery specialist",2
"192","recruiter","recruiter",1
"2106","recruiting coordinator","recruiting coordinator",2
"1852","recruiting manager","recruiting manager",2
"4705","recruiting specialist","recruiting specialist",2
"2873","recruitment","recruitment",1
"4012","recruitment administrator","recruitment administrator",2
"3719","recruitment assistant","recruitment assistant",2
"226","recruitment consultant","recruitment consultant",2
"1653","recruitment coordinator","recruitment coordinator",2
"4013","recruitment executive","recruitment executive",2
"1531","recruitment manager","recruitment manager",2
"2552","recruitment officer","recruitment officer",2
"1332","recruitment specialist","recruitment specialist",2
"906","recursos humanos","human resources",2
"4706","redacteur","editor",1
"1391","redactor","editor",1
"2874","redactora","editor",1
"1853","referee","referee",1
"4332","reference librarian","reference librarian",2
"3454","referent","referent",1
"1267","regional account manager","regional account manager",3
"2875","regional business manager","regional business manager",3
"2301","regional coordinator","regional coordinator",2
"599","regional director","regional director",2
"170","regional manager","regional manager",2
"3244","regional marketing manager","regional marketing manager",3
"1930","regional operations manager","regional operations manager",3
"4333","regional sales","regional sales",2
"1074","regional sales director","regional sales director",3
"4014","regional sales executive","regional sales executive",3
"111","regional sales manager","regional sales manager",3
"3245","regional sales representative","retail sales representative",3
"1206","regional vice president","regional vice president",3
"1392","registered dental hygienist","registered dental hygienist",3
"1776","registered dietitian","registered dietitian",2
"54","registered nurse","registered nurse",2
"2876","registered representative","registered representative",2
"2553","registered respiratory therapist","registered respiratory therapist",3
"1333","registrar","registrar",1
"4015","regulatory affairs manager","regulatory affairs manager",3
"3455","regulatory affairs specialist","regulatory affairs specialist",3
"4334","reimbursement specialist","reimbursement specialist",2
"4016","relaciones publicas","public relations",2
"4707","relaciones públicas","public relations",2
"2554","relationship banker","relationship banker",2
"241","relationship manager","relationship manager",2
"1478","relationship officer","relationship officer",2
"2302","release manager","release manager",2
"2711","reliability engineer","reliability engineer",2
"4335","rentner","pensioner",1
"4336","rep","rep",1
"4708","repair technician","repair technician",2
"4337","repartidor","delivery man",2
"261","reporter","reporter",1
"1334","repórter","news reporter",2
"4709","repositor","repositor",1
"880","representante","representative",1
"318","representante comercial","trade representative",2
"2303","representante de vendas","sales representative",2
"1335","representante de ventas","sales representative",2
"1931","representante legal","legal representative",2
"4710","representante médico","medical representative",2
"941","representative","representative",1
"4017","reseacher","reseacher",1
"1654","research","researcher",1
"267","research analyst","research analyst",2
"2877","research and development engineer","research and development engineer",4
"3045","research and teaching assistant","research and teaching assistant",4
"25","research assistant","research assistant",2
"116","research associate","research associate",2
"2712","research chemist","research chemist",2
"1532","research consultant","research consultant",2
"1777","research coordinator","research coordinator",2
"2437","research director","research director",2
"600","research engineer","research engineer",2
"3046","research executive","research executive",2
"304","research fellow","research fellow",2
"209","research intern","research intern",2
"1778","research internship","research intern",2
"1595","research manager","research manager",2
"1178","research officer","research officer",2
"2107","research scholar","research scholar",2
"382","research scientist","research scientist",2
"2878","research specialist","research specialist",2
"2304","research student","research student",2
"1207","research technician","research technician",2
"79","researcher","researcher",1
"4711","reservations","reservations",1
"2713","reservations agent","reservations agent",2
"2438","reservations manager","reservations manager",2
"1854","reservoir engineer","reservoir engineer",2
"1336","resident","president",1
"1655","resident advisor","resident advisor",2
"411","resident assistant","resident assistant",2
"3047","resident director","resident director",2
"4338","resident dj","resident dj",2
"1301","resident engineer","resident engineer",2
"2108","resident manager","resident manager",2
"1337","resident physician","resident physician",2
"3456","residente","president",1
"2305","residente de obra","work resident",2
"2439","residential counselor","residential counselor",2
"2109","resource manager","resource manager",2
"1228","respiratory therapist","respiratory therapist",2
"2017","responsabile","responsible",1
"2714","responsabile amministrativo","administrative manager",2
"1338","responsabile commerciale","commercial manager",2
"1158","responsable","responsible",1
"2715","responsable administratif et financier","financial and administrative manager",4
"921","responsable commercial","sales manager",2
"2879","responsable commerciale","sales manager",2
"2555","responsable communication","communications manager",2
"2556","responsable comptable","accounting manager",2
"1855","responsable d'agence","agency manager",2
"4339","responsable de calidad","quality manager",2
"4712","responsable de marketing","marketing manager",2
"3720","responsable de secteur","area manager",2
"2557","responsable informatique","it manager",2
"3246","responsable logistique","logistics manager",2
"3247","responsable marketing","marketing manager",2
"3248","responsable qualité","quality manager",2
"2716","responsable ressources humaines","human resources manager",3
"3249","responsable technique","technical manager",2
"374","restaurant manager","restaurant manager",2
"3721","restaurant supervisor","restaurant supervisor",2
"1159","retail","retail",1
"1032","retail assistant","retail assistant",2
"1656","retail associate","retail associate",2
"723","retail manager","retail manager",2
"4713","retail merchandiser","retail merchandiser",2
"1339","retail sales","retail sales",2
"3457","retail sales assistant","retail sales assistant",3
"859","retail sales associate","retail sales associate",3
"2018","retail sales consultant","retail sales consultant",3
"2558","retail sales manager","retail sales manager",3
"2559","retail sales representative","retail sales representative",3
"763","retail store manager","retail store manager",3
"2717","retail supervisor","retail supervisor",2
"15","retired","retired",1
"4714","retired educator","retired educator",2
"1932","retired teacher","retired teacher",2
"1856","retiree","retiree",1
"4715","retirement specialist","retirement specialist",2
"2110","retraite","retirement",1
"593","retraité","retirement",1
"2306","retraitée","retirement",1
"1933","revenue manager","revenue manager",2
"3048","revisor","auditor",1
"907","rf engineer","rf engineer",2
"3458","rh","rh",1
"2560","ricercatore","researcher",1
"4340","ride operator","ride operator",2
"4018","rig manager","rig manager",2
"1134","rigger","rigs",1
"2561","risk advicer","risk advicer",2
"1533","risk analyst","risk analyst",2
"1340","risk manager","risk manager",2
"2718","rm","rm",1
"67","rn","rn",1
"3722","rn bsn","rn bsn",2
"1302","rn case manager","rn case manager",3
"4019","roofer","roofer",1
"2562","room attendant","room attendant",2
"4716","rrt","rrt",1
"4341","rsm","rsm",1
"1075","runner","runner",1
"3723","sachbearbeiterin","clerk",1
"2197","sælger","selling",1
"4342","safety advisor","safety advisor",2
"1657","safety coordinator","safety coordinator",2
"2563","safety engineer","safety engineer",2
"1779","safety manager","safety manager",2
"473","safety officer","safety officer",2
"2880","safety supervisor","safety supervisor",2
"2881","sahip","owner",1
"4343","salarisadministrateur","salarisadministrateur",1
"3049","sale","sales",1
"3724","sale associate","sales associate",2
"1780","sale manager","sales manager",2
"21","sales","sales",1
"981","sales & marketing","sales & marketing",3
"4344","sales & marketing assistant","sales & marketing assistant",4
"3250","sales & marketing director","sales & marketing director",4
"3725","sales & marketing executive","sales & marketing executive",4
"942","sales & marketing manager","sales & marketing manager",4
"3726","sales account executive","sales account executive",3
"956","sales account manager","sales account manager",3
"4345","sales administration","sales administrator",2
"982","sales administrator","sales administrator",2
"460","sales advisor","sales advisor",2
"516","sales agent","sales agent",2
"2440","sales analyst","sales analyst",2
"2719","sales and leasing consultant","sales and leasing consultant",4
"1015","sales and marketing","sales and marketing",3
"2198","sales and marketing assistant","sales and marketing assistant",4
"2882","sales and marketing coordinator","sales and marketing coordinator",4
"2564","sales and marketing director","sales and marketing director",4
"1934","sales and marketing executive","sales and marketing executive",4
"2019","sales and marketing intern","sales and marketing intern",4
"504","sales and marketing manager","sales and marketing manager",4
"3727","sales and marketing representative","sales and marketing representative",4
"4020","sales and service representative","sales and service representative",4
"3459","sales area manager","sales area manager",3
"66","sales assistant","sales assistant",2
"16","sales associate","sales associate",2
"3728","sales associate and cashier","sales associate cashier",3
"1596","sales associate cashier","sales associate cashier",3
"1597","sales clerk","sales clerk",2
"4021","sales co-ordinator","sales coordinator",2
"95","sales consultant","sales consultant",2
"415","sales coordinator","sales coordinator",2
"3460","sales department","sales department",2
"3461","sales development manager","sales development manager",3
"3729","sales development representative","sales development representative",3
"179","sales director","sales director",2
"162","sales engineer","sales engineer",2
"63","sales executive","sales executive",2
"4717","sales floor team member","sales floor team member",4
"1658","sales intern","sales intern",2
"1393","sales lead","sales lead",2
"4022","sales leader","sales lead",2
"4718","sales man","salesman",1
"11","sales manager","sales manager",2
"4346","sales manger","sales manager",2
"4347","sales negotiator","sales negotiator",2
"838","sales officer","sales officer",2
"3462","sales operations manager","sales operations manager",3
"1479","sales person","salesperson",1
"1706","sales professional","sales professional",2
"4719","sales project manager","sales project manager",3
"1707","sales promoter","sales promoter",2
"218","sales rep","sales rep",2
"2020","sales rep.","sales rep",2
"26","sales representative","sales representative",2
"533","sales specialist","sales specialist",2
"620","sales supervisor","sales supervisor",2
"1103","sales support","sales support",2
"4023","sales support manager","sales support manager",3
"3050","sales support specialist","sales support specialist",3
"4720","sales team leader","sales team leader",3
"3463","sales trainee","sales trainee",2
"4024","sales trainer","sales trainee",2
"341","salesman","salesman",1
"2565","salesmanager","sales manager",2
"709","salesperson","salesperson",1
"4348","saleswoman","salesman",1
"1935","salgsassistent","sales assistant",2
"1160","salgskonsulent","sales consultant",2
"627","säljare","seller",1
"3251","salon manager","salon manager",2
"1708","sandwich artist","sandwich artist",2
"3464","santiye sefi","site supervisor",2
"4349","sap","know",1
"4025","sap abap consultant","know abap consultant",3
"4721","sap bi consultant","know consultant",2
"839","sap consultant","know consultant",2
"3051","sap fico consultant","know consultant",2
"4350","sap hr consultant","know consultant",2
"2441","sap sd consultant","know sd consultant",3
"3052","sap technical consultant","sap technical consultant",3
"4026","satis temsilcisi","sales representative",2
"3730","scaffolder","scaffolder",1
"2442","scheduler","scheduler",1
"4722","school","school",1
"3053","school administrator","school administrator",2
"1709","school bus driver","school bus driver",3
"1268","school counselor","school counselor",2
"3054","school nurse","school nurse",2
"1341","school psychologist","school psychologist",2
"4027","school social worker","school social worker",3
"881","science teacher","science teacher",2
"3731","scientific officer","scientific officer",2
"416","scientist","scientist",1
"4723","screenwriter","screenwriter",1
"2021","scrum master","scrum master",2
"1135","se","he",1
"4351","seaman","seaman",1
"4352","seamstress","seamstress",1
"3732","seasonal sales associate","seasonal sales associate",3
"4724","secondary teacher","secondary teacher",2
"1480","secretaire","secretary",1
"894","secrétaire","secretary",1
"4353","secrétaire général","general secretary",2
"4354","secrétaire médicale","medical secretary",2
"796","secretaresse","secretary",1
"197","secretaria","secretary",1
"733","secretária","secretary",1
"2307","secretaria administrativa","administrative secretary",2
"4028","secretaria de dirección","secretary of direction",3
"3252","secretária executiva","executive secretary",2
"4029","secretario","secretary",1
"3465","secretaris","secretary",1
"55","secretary","secretary",1
"3253","secretary general","secretary general",2
"2443","section manager","section manager",2
"429","security","security",1
"1936","security consultant","security consultant",2
"1076","security guard","security guard",2
"1481","security manager","security manager",2
"214","security officer","security officer",2
"1937","security specialist","security specialist",2
"1269","security supervisor","security supervisor",2
"1534","segretaria","secretary",1
"3055","segurança","safety",1
"3254","sekretær","secretary",1
"2111","selbständig","independent",1
"658","self","self",1
"922","self-employed","self employed",2
"102","self employed","self employed",2
"3733","self employee","self employed",2
"4355","selger","seller",1
"1535","seller","seller",1
"1179","semi retired","semi retired",2
"1303","senior","senior",1
"3734","senior account director","senior account director",3
"204","senior account executive","senior account executive",3
"193","senior account manager","senior account manager",3
"141","senior accountant","senior accountant",2
"4725","senior accounting clerk","senior accounting clerk",3
"1342","senior administrative assistant","senior administrative assistant",3
"2444","senior administrator","senior administrator",2
"957","senior advisor","senior advisor",2
"268","senior analyst","senior analyst",2
"3255","senior analyst programmer","senior analyst programmer",3
"1938","senior application developer","senior application developer",3
"3466","senior application engineer","senior application engineer",3
"1016","senior architect","senior architect",2
"1394","senior art director","senior art director",3
"106","senior associate","senior associate",2
"3256","senior associate consultant","senior associate consultant",3
"4356","senior attorney","senior attorney",2
"3735","senior audit associate","senior audit associate",3
"511","senior auditor","senior auditor",2
"2883","senior brand manager","senior brand manager",3
"354","senior business analyst","senior business analyst",3
"2199","senior business consultant","senior business consultant",3
"2445","senior business development manager","senior business development manager",4
"673","senior buyer","senior buyer",2
"4030","senior chemist","senior chemist",2
"2720","senior civil engineer","senior civil engineer",3
"2884","senior clerk","senior clerk",2
"2885","senior clinical research associate","senior clinical research associate",4
"4031","senior commercial manager","senior commercial manager",3
"46","senior consultant","senior consultant",2
"1710","senior copywriter","senior copywriter",2
"2886","senior counsel","senior counsel",2
"4357","senior counselor","senior counsel",2
"3467","senior cra","senior cra",2
"3257","senior credit analyst","senior credit analyst",3
"1536","senior customer service representative","senior customer service representative",4
"4358","senior data analyst","senior data analyst",3
"4726","senior database administrator","senior database administrator",3
"958","senior design engineer","senior design engineer",3
"368","senior designer","senior designer",2
"424","senior developer","senior developer",2
"1395","senior director","senior director",2
"3056","senior document controller","senior document controller",3
"1711","senior editor","senior editor",2
"4032","senior electrical designer","senior electrical engineer",3
"1537","senior electrical engineer","senior electrical engineer",3
"138","senior engineer","senior engineer",2
"2887","senior estimator","senior estimator",2
"724","senior executive","senior executive",2
"4727","senior executive assistant","senior executive assistant",3
"4359","senior field engineer","senior field engineer",3
"2888","senior finance manager","senior finance manager",3
"4728","senior finance officer","senior finance officer",3
"412","senior financial analyst","senior financial analyst",3
"2446","senior geologist","senior geologist",2
"710","senior graphic designer","senior graphic designer",3
"3057","senior hr manager","senior hr manager",3
"2566","senior interior designer","senior interior designer",3
"2112","senior internal auditor","senior intern auditor",3
"4033","senior investigator","senior investigator",2
"3058","senior it consultant","senior it consultant",3
"1939","senior java developer","senior java developer",3
"2721","senior key account manager","senior key account manager",4
"489","senior lecturer","senior lecturer",2
"1598","senior legal counsel","senior legal counsel",3
"1482","senior loan officer","senior loan officer",3
"89","senior manager","senior manager",2
"4729","senior managing director","senior managing director",3
"3736","senior manufacturing engineer","senior manufacturing engineer",3
"4730","senior marketing analyst","senior marketing analyst",3
"4360","senior marketing executive","senior marketing executive",3
"2200","senior marketing manager","senior marketing manager",3
"4731","senior mechanical designer","senior mechanical engineer",3
"1343","senior mechanical engineer","senior mechanical engineer",3
"2722","senior merchandiser","senior merchandiser",2
"959","senior network engineer","senior network engineer",3
"1270","senior officer","senior officer",2
"1857","senior operations manager","senior operations manager",3
"3737","senior paralegal","senior paralegal",2
"1136","senior partner","senior partner",2
"860","senior pastor","senior pastor",2
"4732","senior physiotherapist","senior physiotherapist",2
"3738","senior piping designer","senior piping designer",3
"1180","senior planner","senior planner",2
"4733","senior printed circuit designer","senior printed circuit designer",4
"1344","senior process engineer","senior process engineer",3
"4361","senior process executive","senior process executive",3
"2201","senior producer","senior producer",2
"1033","senior product manager","senior product manager",3
"4362","senior product specialist","senior product specialist",3
"1104","senior program manager","senior program manager",3
"983","senior programmer","senior programs",2
"1345","senior programmer analyst","senior programmer analyst",3
"3468","senior programmer/analyst","senior programmer analyst",3
"4734","senior project coordinator","senior project coordinator",3
"610","senior project engineer","senior project engineer",3
"112","senior project manager","senior project manager",3
"4735","senior project officer","senior project officer",3
"4363","senior property manager","senior property manager",3
"3469","senior qa analyst","senior qa analyst",3
"2202","senior qa engineer","senior engineer",2
"2567","senior quality engineer","senior quality engineer",3
"1538","senior quantity surveyor","senior quantity surveyor",3
"1271","senior recruiter","senior recruiter",2
"2568","senior recruitment consultant","senior recruitment consultant",3
"1781","senior relationship manager","senior relationship manager",3
"4736","senior reporter","senior reporter",2
"1712","senior research analyst","senior research analyst",3
"1659","senior research associate","senior research associate",3
"3059","senior research engineer","senior research engineer",3
"2022","senior research fellow","senior research fellow",3
"1539","senior research scientist","senior research scientist",3
"1439","senior researcher","senior researcher",2
"4737","senior risk analyst","senior risk analyst",3
"4364","senior sales","senior sales",2
"4738","senior sales advisor","senior sales advisor",3
"4034","senior sales assistant","senior sales assistant",3
"2569","senior sales associate","senior sales associate",3
"1440","senior sales consultant","senior sales consultant",3
"1540","senior sales engineer","senior sales engineer",3
"581","senior sales executive","senior sales executive",3
"943","senior sales manager","senior sales manager",3
"4739","senior sales officer","senior sales officer",3
"1599","senior sales representative","senior sales representative",3
"749","senior scientist","senior scientist",2
"4740","senior service engineer","senior service engineer",3
"3739","senior software consultant","senior software consultant",3
"310","senior software developer","senior software developer",3
"51","senior software engineer","senior software engineer",3
"1782","senior specialist","senior specialist",2
"4741","senior strategic planner","senior strategic planner",3
"1783","senior structural engineer","senior structural engineer",3
"4365","senior stylist","senior stylist",2
"2113","senior supervisor","senior supervisor",2
"2570","senior support engineer","senior support engineer",3
"4366","senior surveyor","senior surveyor",2
"2723","senior system administrator","senior system administrator",3
"1858","senior system analyst","senior systems analyst",3
"960","senior system engineer","senior systems engineer",3
"1346","senior systems analyst","senior systems analyst",3
"557","senior systems engineer","senior systems engineer",3
"2447","senior tax accountant","senior tax accountant",3
"4035","senior tax analyst","senior qa analyst",3
"2889","senior tax manager","senior tax manager",3
"3470","senior technical analyst","senior technical analyst",3
"1347","senior technical consultant","senior technical consultant",3
"3740","senior technical officer","senior technical officer",3
"4367","senior technical specialist","senior technical specialist",3
"2308","senior technical writer","senior technical writer",3
"1713","senior technician","senior technician",2
"4368","senior territory manager","senior territory manager",3
"2023","senior test analyst","senior test analyst",3
"2571","senior test engineer","senior test engineer",3
"1660","senior underwriter","senior underwriter",2
"286","senior vice president","senior vice president",3
"4742","senior web designer","senior web designer",3
"1441","senior web developer","senior web developer",3
"4743","senior writer","senior writer",2
"1348","seo","this",1
"2203","seo executive","seo executive",2
"3471","seo specialist","seo specialist",2
"694","sergeant","sergeant",1
"4744","serveerster","waitress",1
"64","server","server",1
"2204","server/bartender","server/bartender",1
"3472","serveur","server",1
"2309","serveuse","waitress",1
"984","service","service",1
"659","service advisor","service advisor",2
"4369","service agent","service agent",2
"2205","service consultant","service consultant",2
"824","service coordinator","service coordinator",2
"4745","service crew","service crew",2
"840","service delivery manager","service delivery manager",3
"1714","service desk analyst","service desk analyst",3
"2724","service director","service director",2
"328","service engineer","service engineer",2
"171","service manager","service manager",2
"3741","service representative","service representative",2
"2725","service specialist","service specialist",2
"1940","service supervisor","service supervisor",2
"2572","service tech","service tech",2
"524","service technician","service technician",2
"4746","servicemedarbejder","service employee",2
"3742","servicetekniker","service technician",2
"4370","servicio al cliente","customer service",2
"2310","servicio de atención al cliente","customer service",2
"923","set","set",1
"1600","shareholder","shareholder",1
"3743","sharepoint developer","sharepoint developer",2
"3473","shift engineer","shift engineer",2
"2311","shift lead","shift leader",2
"1034","shift leader","shift leader",2
"389","shift manager","shift manager",2
"499","shift supervisor","shift supervisor",2
"3744","shipper","shipper",1
"2312","shipping","shipping",1
"3745","shipping clerk","shipping clerk",2
"4036","shipping coordinator","shipping coordinator",2
"3474","shipping manager","shipping manager",2
"3258","shipping supervisor","shipping supervisor",2
"594","shop assistant","shop assistant",2
"3259","shop foreman","shop foreman",2
"924","shop manager","shop manager",2
"2448","showroom manager","showroom manager",2
"1784","singer","singer",1
"4371","singer/songwriter","singer/songwriter",1
"3260","sistemas","systems",1
"3746","site agent","site agent",2
"3261","site coordinator","it coordinator",2
"2024","site director","site director",2
"242","site engineer","site engineer",2
"232","site manager","site manager",2
"660","site supervisor","site supervisor",2
"4747","six sigma black belt","six sigma black belt",4
"1859","ski instructor","ski instructor",2
"1272","small business owner","small business owner",3
"4748","sme","we are",2
"2313","soccer coach","soccer coach",2
"3475","soccer referee","soccer referee",2
"1661","socia","social",1
"2573","sócia","partner",1
"3476","sócia proprietária","owner partner",2
"4037","social media","social media",2
"4749","social media and online marketing manager","social media and online marketing manager",6
"4372","social media consultant","social media consultant",3
"2574","social media coordinator","social media coordinator",3
"1137","social media intern","social media intern",3
"552","social media manager","social media manager",3
"4373","social media marketing intern","social media marketing intern",4
"2314","social media specialist","social media specialist",3
"3477","social media strategist","social media strategist",3
"1541","social studies teacher","social studies teacher",3
"1017","social work intern","social work intern",3
"210","social worker","social worker",2
"2449","socialrådgiver","social worker",2
"394","socio","socio",1
"1229","sócio","partner",1
"4038","socio director","partner director",2
"2575","sócio diretor","managing partner",2
"1442","socio fundador","founding partner",2
"1230","socio gerente","managing partner",2
"2726","sócio gerente","managing partner",2
"797","sócio proprietário","owner partner",2
"3478","socorrista","lifeguard",1
"2576","software","software",1
"2450","software analyst","software analyst",2
"646","software architect","software architect",2
"985","software consultant","software consultant",2
"32","software developer","software developer",2
"2890","software developer intern","software developer internship",3
"2451","software developer internship","software developer internship",3
"1208","software development engineer","software development engineer",3
"2452","software development intern","software development intern",3
"1542","software development manager","software development manager",3
"12","software engineer","software engineer",2
"4374","software engineer iii","software engineer",2
"1941","software engineer intern","software engineer intern",3
"4039","software engineer internship","software engineer intern",3
"4375","software engineering analyst","software engineering analyst",3
"1018","software engineering intern","software engineering intern",3
"4750","software engineering manager","software engineering manager",3
"4751","software enginner","software engineer",2
"1942","software programmer","software programs",2
"2891","software qa engineer","software engineer",2
"3479","software specialist","software specialist",2
"628","software test engineer","software test engineer",3
"775","software tester","software tests",2
"4752","soldado","welder",1
"1860","soldador","welder",1
"1785","soldier","soldier",1
"961","sole proprietor","sole proprietor",2
"385","solicitor","solicitor",1
"925","solution architect","solution architect",2
"962","solutions architect","solution architect",2
"1231","solutions consultant","solutions consultant",2
"4376","solutions engineer","solutions engineer",2
"3747","solutions specialist","solutions specialist",2
"4753","sommelier","sommelier",1
"2315","sonographer","sonographer",1
"3060","soporte tecnico","technical support",2
"2453","soporte técnico","technical support",2
"3262","sound designer","sound designer",2
"1396","sound engineer","sound engineer",2
"2727","sourcing manager","sourcing manager",2
"2316","sourcing specialist","sourcing specialist",2
"369","sous chef","sous chef",2
"4040","souschef","sous chef",2
"4377","spa director","spa director",2
"2892","spa manager","spa manager",2
"4041","spa therapist","spa therapist",2
"1273","spanish teacher","spanish teacher",2
"3263","speaker","speaker",1
"2577","special agent","special agent",2
"2893","special education paraprofessional","special education paraprofessional",3
"338","special education teacher","special education teacher",3
"4378","special educator","special educator",2
"3480","special events coordinator","special events coordinator",3
"3748","special projects coordinator","special projects coordinator",3
"2578","special projects manager","special projects manager",3
"287","specialist","specialist",1
"2206","speech-language pathologist","speech-language pathologist",2
"963","speech language pathologist","speech language pathologist",3
"4754","speech pathologist","speech pathologist",2
